points,constructorId,raceId,year,name,driverId,grid,positionOrder,team_grid,skill_diff
196.0,6,974,2017,Monaco Grand Prix,8.0,1.0,19.0,1.5,-0.5
196.0,6,974,2017,Monaco Grand Prix,20.0,2.0,20.0,1.5,0.5
18.0,4,975,2017,Canadian Grand Prix,807.0,10.0,13.0,12.5,-2.5
18.0,4,975,2017,Canadian Grand Prix,835.0,15.0,10.0,12.5,2.5
4.0,15,975,2017,Canadian Grand Prix,828.0,19.0,8.0,19.5,-0.5
4.0,15,975,2017,Canadian Grand Prix,836.0,20.0,6.0,19.5,0.5
15.0,210,975,2017,Canadian Grand Prix,825.0,18.0,9.0,16.0,2.0
0.0,1,975,2017,Canadian Grand Prix,4.0,12.0,5.0,14.0,-2.0
15.0,210,975,2017,Canadian Grand Prix,154.0,14.0,11.0,16.0,-2.0
29.0,5,975,2017,Canadian Grand Prix,832.0,13.0,1.0,12.0,1.0
0.0,1,975,2017,Canadian Grand Prix,838.0,16.0,7.0,14.0,2.0
29.0,5,975,2017,Canadian Grand Prix,826.0,11.0,4.0,12.0,-1.0
71.0,10,975,2017,Canadian Grand Prix,839.0,9.0,15.0,8.5,0.5
71.0,10,975,2017,Canadian Grand Prix,815.0,8.0,16.0,8.5,-0.5
214.0,6,975,2017,Canadian Grand Prix,8.0,4.0,14.0,3.0,1.0
222.0,131,975,2017,Canadian Grand Prix,1.0,1.0,20.0,2.0,-1.0
222.0,131,975,2017,Canadian Grand Prix,822.0,3.0,19.0,2.0,1.0
214.0,6,975,2017,Canadian Grand Prix,20.0,2.0,17.0,3.0,-1.0
112.0,9,975,2017,Canadian Grand Prix,830.0,5.0,3.0,5.5,-0.5
22.0,3,975,2017,Canadian Grand Prix,840.0,17.0,12.0,12.0,5.0
22.0,3,975,2017,Canadian Grand Prix,13.0,7.0,2.0,12.0,-5.0
112.0,9,975,2017,Canadian Grand Prix,817.0,6.0,18.0,5.5,0.5
33.0,5,976,2017,Azerbaijan Grand Prix,826.0,11.0,2.0,13.0,-2.0
21.0,210,976,2017,Azerbaijan Grand Prix,825.0,12.0,14.0,14.0,-2.0
2.0,1,976,2017,Azerbaijan Grand Prix,838.0,18.0,9.0,18.5,-0.5
2.0,1,976,2017,Azerbaijan Grand Prix,4.0,19.0,12.0,18.5,0.5
5.0,15,976,2017,Azerbaijan Grand Prix,828.0,17.0,10.0,15.5,1.5
5.0,15,976,2017,Azerbaijan Grand Prix,836.0,14.0,11.0,15.5,-1.5
18.0,4,976,2017,Azerbaijan Grand Prix,835.0,20.0,1.0,16.5,3.5
18.0,4,976,2017,Azerbaijan Grand Prix,807.0,13.0,4.0,16.5,-3.5
33.0,5,976,2017,Azerbaijan Grand Prix,832.0,15.0,13.0,13.0,2.0
21.0,210,976,2017,Azerbaijan Grand Prix,154.0,16.0,8.0,14.0,2.0
79.0,10,976,2017,Azerbaijan Grand Prix,839.0,7.0,15.0,6.5,0.5
226.0,6,976,2017,Azerbaijan Grand Prix,20.0,4.0,17.0,3.5,0.5
226.0,6,976,2017,Azerbaijan Grand Prix,8.0,3.0,7.0,3.5,-0.5
250.0,131,976,2017,Azerbaijan Grand Prix,822.0,2.0,19.0,1.5,0.5
250.0,131,976,2017,Azerbaijan Grand Prix,1.0,1.0,16.0,1.5,-0.5
79.0,10,976,2017,Azerbaijan Grand Prix,815.0,6.0,6.0,6.5,-0.5
137.0,9,976,2017,Azerbaijan Grand Prix,830.0,5.0,3.0,7.5,-2.5
37.0,3,976,2017,Azerbaijan Grand Prix,840.0,8.0,18.0,8.5,-0.5
37.0,3,976,2017,Azerbaijan Grand Prix,13.0,9.0,5.0,8.5,0.5
137.0,9,976,2017,Azerbaijan Grand Prix,817.0,10.0,20.0,7.5,2.5
33.0,5,977,2017,Austrian Grand Prix,832.0,10.0,4.0,12.0,-2.0
29.0,210,977,2017,Austrian Grand Prix,154.0,6.0,15.0,10.5,-4.5
2.0,1,977,2017,Austrian Grand Prix,4.0,12.0,2.0,12.5,-0.5
2.0,1,977,2017,Austrian Grand Prix,838.0,13.0,9.0,12.5,0.5
5.0,15,977,2017,Austrian Grand Prix,828.0,19.0,6.0,19.5,-0.5
5.0,15,977,2017,Austrian Grand Prix,836.0,20.0,7.0,19.5,0.5
18.0,4,977,2017,Austrian Grand Prix,807.0,11.0,8.0,13.5,-2.5
18.0,4,977,2017,Austrian Grand Prix,835.0,16.0,10.0,13.5,2.5
33.0,5,977,2017,Austrian Grand Prix,826.0,14.0,5.0,12.0,2.0
29.0,210,977,2017,Austrian Grand Prix,825.0,15.0,3.0,10.5,4.5
89.0,10,977,2017,Austrian Grand Prix,815.0,7.0,14.0,8.0,-1.0
254.0,6,977,2017,Austrian Grand Prix,20.0,2.0,19.0,2.5,-0.5
254.0,6,977,2017,Austrian Grand Prix,8.0,3.0,16.0,2.5,0.5
287.0,131,977,2017,Austrian Grand Prix,822.0,1.0,20.0,4.5,-3.5
287.0,131,977,2017,Austrian Grand Prix,1.0,8.0,17.0,4.5,3.5
89.0,10,977,2017,Austrian Grand Prix,839.0,9.0,13.0,8.0,1.0
152.0,9,977,2017,Austrian Grand Prix,830.0,5.0,1.0,4.5,0.5
40.0,3,977,2017,Austrian Grand Prix,13.0,17.0,12.0,17.5,-0.5
40.0,3,977,2017,Austrian Grand Prix,840.0,18.0,11.0,17.5,0.5
152.0,9,977,2017,Austrian Grand Prix,817.0,4.0,18.0,4.5,-0.5
33.0,5,978,2017,British Grand Prix,826.0,12.0,6.0,12.5,-0.5
29.0,210,978,2017,British Grand Prix,825.0,16.0,9.0,13.0,3.0
2.0,1,978,2017,British Grand Prix,4.0,20.0,3.0,14.0,6.0
2.0,1,978,2017,British Grand Prix,838.0,8.0,10.0,14.0,-6.0
5.0,15,978,2017,British Grand Prix,836.0,17.0,4.0,17.5,-0.5
5.0,15,978,2017,British Grand Prix,828.0,18.0,7.0,17.5,0.5
26.0,4,978,2017,British Grand Prix,835.0,11.0,1.0,8.0,3.0
26.0,4,978,2017,British Grand Prix,807.0,5.0,15.0,8.0,-3.0
33.0,5,978,2017,British Grand Prix,832.0,13.0,2.0,12.5,0.5
29.0,210,978,2017,British Grand Prix,154.0,10.0,8.0,13.0,-3.0
95.0,10,978,2017,British Grand Prix,815.0,6.0,12.0,6.5,-0.5
41.0,3,978,2017,British Grand Prix,840.0,15.0,5.0,14.5,0.5
41.0,3,978,2017,British Grand Prix,13.0,14.0,11.0,14.5,-0.5
174.0,9,978,2017,British Grand Prix,817.0,19.0,16.0,11.5,7.5
174.0,9,978,2017,British Grand Prix,830.0,4.0,17.0,11.5,-7.5
330.0,131,978,2017,British Grand Prix,822.0,9.0,19.0,5.0,4.0
330.0,131,978,2017,British Grand Prix,1.0,1.0,20.0,5.0,-4.0
275.0,6,978,2017,British Grand Prix,20.0,3.0,14.0,2.5,0.5
275.0,6,978,2017,British Grand Prix,8.0,2.0,18.0,2.5,-0.5
95.0,10,978,2017,British Grand Prix,839.0,7.0,13.0,6.5,0.5
26.0,4,979,2017,Hungarian Grand Prix,835.0,10.0,9.0,11.0,-1.0
26.0,4,979,2017,Hungarian Grand Prix,807.0,12.0,4.0,11.0,1.0
5.0,15,979,2017,Hungarian Grand Prix,828.0,20.0,5.0,19.0,1.0
39.0,5,979,2017,Hungarian Grand Prix,826.0,16.0,10.0,12.5,3.5
11.0,1,979,2017,Hungarian Grand Prix,838.0,8.0,11.0,7.5,0.5
29.0,210,979,2017,Hungarian Grand Prix,825.0,15.0,8.0,14.5,0.5
29.0,210,979,2017,Hungarian Grand Prix,154.0,14.0,2.0,14.5,-0.5
11.0,1,979,2017,Hungarian Grand Prix,4.0,7.0,15.0,7.5,-0.5
39.0,5,979,2017,Hungarian Grand Prix,832.0,9.0,14.0,12.5,-3.5
5.0,15,979,2017,Hungarian Grand Prix,836.0,18.0,6.0,19.0,-1.0
101.0,10,979,2017,Hungarian Grand Prix,815.0,13.0,13.0,12.0,1.0
318.0,6,979,2017,Hungarian Grand Prix,8.0,2.0,19.0,1.5,0.5
357.0,131,979,2017,Hungarian Grand Prix,822.0,3.0,18.0,3.5,-0.5
357.0,131,979,2017,Hungarian Grand Prix,1.0,4.0,17.0,3.5,0.5
184.0,9,979,2017,Hungarian Grand Prix,830.0,5.0,16.0,5.5,-0.5
318.0,6,979,2017,Hungarian Grand Prix,20.0,1.0,20.0,1.5,-0.5
184.0,9,979,2017,Hungarian Grand Prix,817.0,6.0,1.0,5.5,0.5
41.0,3,979,2017,Hungarian Grand Prix,840.0,17.0,7.0,18.0,-1.0
41.0,3,979,2017,Hungarian Grand Prix,814.0,19.0,3.0,18.0,1.0
101.0,10,979,2017,Hungarian Grand Prix,839.0,11.0,12.0,12.0,-1.0
40.0,5,980,2017,Belgian Grand Prix,826.0,19.0,9.0,16.0,3.0
35.0,210,980,2017,Belgian Grand Prix,825.0,12.0,6.0,11.5,0.5
35.0,210,980,2017,Belgian Grand Prix,154.0,11.0,14.0,11.5,-0.5
11.0,1,980,2017,Belgian Grand Prix,4.0,10.0,3.0,15.0,-5.0
11.0,1,980,2017,Belgian Grand Prix,838.0,20.0,7.0,15.0,5.0
5.0,15,980,2017,Belgian Grand Prix,836.0,18.0,1.0,17.5,0.5
5.0,15,980,2017,Belgian Grand Prix,828.0,17.0,5.0,17.5,-0.5
34.0,4,980,2017,Belgian Grand Prix,835.0,14.0,8.0,10.5,3.5
34.0,4,980,2017,Belgian Grand Prix,807.0,7.0,15.0,10.5,-3.5
40.0,5,980,2017,Belgian Grand Prix,832.0,13.0,11.0,16.0,-3.0
103.0,10,980,2017,Belgian Grand Prix,815.0,8.0,4.0,8.5,-0.5
103.0,10,980,2017,Belgian Grand Prix,839.0,9.0,12.0,8.5,0.5
348.0,6,980,2017,Belgian Grand Prix,8.0,4.0,17.0,3.0,1.0
392.0,131,980,2017,Belgian Grand Prix,1.0,1.0,20.0,2.0,-1.0
392.0,131,980,2017,Belgian Grand Prix,822.0,3.0,16.0,2.0,1.0
348.0,6,980,2017,Belgian Grand Prix,20.0,2.0,19.0,3.0,-1.0
199.0,9,980,2017,Belgian Grand Prix,830.0,5.0,2.0,5.5,-0.5
45.0,3,980,2017,Belgian Grand Prix,13.0,16.0,13.0,15.5,0.5
45.0,3,980,2017,Belgian Grand Prix,840.0,15.0,10.0,15.5,-0.5
199.0,9,980,2017,Belgian Grand Prix,817.0,6.0,18.0,5.5,0.5
40.0,5,981,2017,Italian Grand Prix,832.0,15.0,7.0,11.5,3.5
35.0,210,981,2017,Italian Grand Prix,825.0,9.0,10.0,14.5,-5.5
11.0,1,981,2017,Italian Grand Prix,838.0,18.0,2.0,18.5,-0.5
11.0,1,981,2017,Italian Grand Prix,4.0,19.0,4.0,18.5,0.5
5.0,15,981,2017,Italian Grand Prix,828.0,11.0,3.0,11.5,-0.5
5.0,15,981,2017,Italian Grand Prix,836.0,12.0,5.0,11.5,0.5
34.0,4,981,2017,Italian Grand Prix,835.0,17.0,1.0,15.5,1.5
34.0,4,981,2017,Italian Grand Prix,807.0,14.0,8.0,15.5,-1.5
40.0,5,981,2017,Italian Grand Prix,826.0,8.0,9.0,11.5,-3.5
35.0,210,981,2017,Italian Grand Prix,154.0,20.0,6.0,14.5,5.5
113.0,10,981,2017,Italian Grand Prix,839.0,3.0,15.0,6.5,-3.5
373.0,6,981,2017,Italian Grand Prix,20.0,6.0,18.0,5.5,0.5
373.0,6,981,2017,Italian Grand Prix,8.0,5.0,16.0,5.5,-0.5
435.0,131,981,2017,Italian Grand Prix,1.0,1.0,20.0,2.5,-1.5
435.0,131,981,2017,Italian Grand Prix,822.0,4.0,19.0,2.5,1.5
113.0,10,981,2017,Italian Grand Prix,815.0,10.0,12.0,6.5,3.5
212.0,9,981,2017,Italian Grand Prix,830.0,13.0,11.0,14.5,-1.5
55.0,3,981,2017,Italian Grand Prix,840.0,2.0,14.0,4.5,-2.5
55.0,3,981,2017,Italian Grand Prix,13.0,7.0,13.0,4.5,2.5
212.0,9,981,2017,Italian Grand Prix,817.0,16.0,17.0,14.5,1.5
52.0,5,982,2017,Singapore Grand Prix,826.0,13.0,5.0,11.5,1.5
37.0,210,982,2017,Singapore Grand Prix,154.0,15.0,12.0,15.5,-0.5
17.0,1,982,2017,Singapore Grand Prix,4.0,8.0,4.0,8.5,-0.5
17.0,1,982,2017,Singapore Grand Prix,838.0,9.0,14.0,8.5,0.5
5.0,15,982,2017,Singapore Grand Prix,828.0,20.0,6.0,19.5,0.5
5.0,15,982,2017,Singapore Grand Prix,836.0,19.0,9.0,19.5,-0.5
42.0,4,982,2017,Singapore Grand Prix,807.0,7.0,7.0,9.0,-2.0
42.0,4,982,2017,Singapore Grand Prix,835.0,11.0,15.0,9.0,2.0
